Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1248,100,5/6,0.3471947407722473
0.0,1.0,1.0,10.0,1248,100,5/6,0.3338108491897583
0.0,1.0,1.5,10.0,1248,100,5/6,0.33976576566696165
0.0,0.65,2.0,9.01,1248,100,5/6,0.30716198205947876
0.0,0.0,2.5,3.97,1248,100,5/6,0.14547589778900147
0.0,0.0,3.0,2.35,1248,100,5/6,0.08459681510925293
0.0,0.0,3.5,1.6,1248,100,5/6,0.05962451934814453
0.0,0.0,4.0,1.18,1248,100,5/6,0.04490463018417359
0.0,0.0,4.5,1.06,1248,100,5/6,0.03994677543640137
