Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1728,100,5/6,0.49567547082901003
0.0,1.0,1.0,10.0,1728,100,5/6,0.4908804726600647
0.0,1.0,1.5,10.0,1728,100,5/6,0.5071531915664673
0.0,0.62,2.0,9.08,1728,100,5/6,0.45150974988937376
0.0,0.02,2.5,4.05,1728,100,5/6,0.2036698579788208
0.0,0.0,3.0,2.4,1728,100,5/6,0.1286816740036011
0.0,0.0,3.5,1.8,1728,100,5/6,0.09607769250869751
0.0,0.0,4.0,1.3,1728,100,5/6,0.07013763427734375
0.0,0.0,4.5,1.09,1728,100,5/6,0.05872586727142334
