Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1248,100,2/3B,0.33875246286392213
0.0,1.0,1.0,10.0,1248,100,2/3B,0.3463135313987732
0.0,0.97,1.5,9.97,1248,100,2/3B,0.3350863480567932
0.0,0.04,2.0,5.54,1248,100,2/3B,0.18872016429901123
0.0,0.0,2.5,3.3,1248,100,2/3B,0.1152910590171814
0.0,0.0,3.0,2.42,1248,100,2/3B,0.08448462963104247
0.0,0.0,3.5,1.93,1248,100,2/3B,0.06742396831512451
0.0,0.0,4.0,1.6,1248,100,2/3B,0.057987852096557616
0.0,0.0,4.5,1.2,1248,100,2/3B,0.04591866254806518
