Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2016,100,3/4B,0.6112042164802551
0.0,1.0,1.0,10.0,2016,100,3/4B,0.6039685010910034
0.0,1.0,1.5,10.0,2016,100,3/4B,0.5877624773979186
0.0,0.07,2.0,6.55,2016,100,3/4B,0.3907355761528015
0.0,0.0,2.5,3.64,2016,100,3/4B,0.22304023742675783
0.0,0.0,3.0,2.47,2016,100,3/4B,0.15615312337875367
0.0,0.0,3.5,2.01,2016,100,3/4B,0.13099440097808837
0.0,0.0,4.0,1.52,2016,100,3/4B,0.10602303504943848
0.0,0.0,4.5,1.25,2016,100,3/4B,0.08181669473648072
