Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,768,100,3/4B,0.2068813443183899
0.0,1.0,1.0,10.0,768,100,3/4B,0.20691977500915526
0.0,0.98,1.5,9.97,768,100,3/4B,0.2048800468444824
0.0,0.1,2.0,5.68,768,100,3/4B,0.11813422441482543
0.0,0.0,2.5,2.92,768,100,3/4B,0.06214299201965332
0.0,0.0,3.0,2.01,768,100,3/4B,0.04330419540405273
0.0,0.0,3.5,1.54,768,100,3/4B,0.03351642847061157
0.0,0.0,4.0,1.27,768,100,3/4B,0.027990097999572753
0.0,0.0,4.5,1.06,768,100,3/4B,0.023611326217651368
