Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2016,100,2/3A,0.52158607006073
0.0,1.0,1.0,10.0,2016,100,2/3A,0.515934989452362
0.0,0.99,1.5,9.99,2016,100,2/3A,0.5471938419342041
0.0,0.01,2.0,5.69,2016,100,2/3A,0.319828474521637
0.0,0.0,2.5,3.4,2016,100,2/3A,0.1976538634300232
0.0,0.0,3.0,2.39,2016,100,2/3A,0.13572809219360352
0.0,0.0,3.5,2.01,2016,100,2/3A,0.11587749242782593
0.0,0.0,4.0,1.62,2016,100,2/3A,0.09494569778442383
0.0,0.0,4.5,1.3,2016,100,2/3A,0.07845495462417602
