Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2112,100,5/6,0.6132347989082336
0.0,1.0,1.0,10.0,2112,100,5/6,0.6125769996643067
0.0,1.0,1.5,10.0,2112,100,5/6,0.6033215975761413
0.0,0.81,2.0,9.53,2112,100,5/6,0.5792893052101136
0.0,0.0,2.5,4.18,2112,100,5/6,0.25996464252471924
0.0,0.0,3.0,2.5,2112,100,5/6,0.15947377681732178
0.0,0.0,3.5,1.86,2112,100,5/6,0.1251774263381958
0.0,0.0,4.0,1.34,2112,100,5/6,0.09070820569992065
0.0,0.0,4.5,1.09,2112,100,5/6,0.06893010139465332
