Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1536,100,3/4B,0.4659878945350647
0.0,1.0,1.0,10.0,1536,100,3/4B,0.458202633857727
0.0,1.0,1.5,10.0,1536,100,3/4B,0.4624402284622192
0.0,0.05,2.0,6.24,1536,100,3/4B,0.3053785538673401
0.0,0.0,2.5,3.42,1536,100,3/4B,0.1655772876739502
0.0,0.0,3.0,2.35,1536,100,3/4B,0.11185575723648071
0.0,0.0,3.5,1.78,1536,100,3/4B,0.08659614086151123
0.0,0.0,4.0,1.42,1536,100,3/4B,0.06810465335845947
0.0,0.0,4.5,1.22,1536,100,3/4B,0.060162794589996335
