Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1440,100,1/2,0.393900032043457
0.0,1.0,1.0,10.0,1440,100,1/2,0.40137940645217896
0.0,0.66,1.5,9.37,1440,100,1/2,0.3833550238609314
0.0,0.0,2.0,5.5,1440,100,1/2,0.2287282943725586
0.0,0.0,2.5,3.81,1440,100,1/2,0.1555525255203247
0.0,0.0,3.0,2.87,1440,100,1/2,0.11878453254699707
0.0,0.0,3.5,2.35,1440,100,1/2,0.09709715843200684
0.0,0.0,4.0,2.06,1440,100,1/2,0.08596490383148193
0.0,0.0,4.5,1.77,1440,100,1/2,0.08003603935241699
