Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,576,100,2/3A,0.13504670858383178
0.0,1.0,1.0,10.0,576,100,2/3A,0.13419770956039428
0.0,0.86,1.5,9.67,576,100,2/3A,0.13025967359542848
0.0,0.05,2.0,5.04,576,100,2/3A,0.06885239362716675
0.0,0.0,2.5,3.01,576,100,2/3A,0.041774110794067384
0.0,0.0,3.0,2.07,576,100,2/3A,0.029101762771606445
0.0,0.0,3.5,1.54,576,100,2/3A,0.02199852466583252
0.0,0.0,4.0,1.36,576,100,2/3A,0.019639496803283692
0.0,0.0,4.5,1.18,576,100,2/3A,0.017344043254852295
