Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1728,100,2/3A,0.4703793478012085
0.0,1.0,1.0,10.0,1728,100,2/3A,0.4679950022697449
0.0,0.99,1.5,9.99,1728,100,2/3A,0.4653690576553345
0.0,0.0,2.0,5.43,1728,100,2/3A,0.26472413778305054
0.0,0.0,2.5,3.41,1728,100,2/3A,0.16974462032318116
0.0,0.0,3.0,2.42,1728,100,2/3A,0.12332559585571289
0.0,0.0,3.5,1.97,1728,100,2/3A,0.10109774589538574
0.0,0.0,4.0,1.65,1728,100,2/3A,0.0847013807296753
0.0,0.0,4.5,1.33,1728,100,2/3A,0.0683349347114563
