Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1824,100,5/6,0.5371621680259705
0.0,1.0,1.0,10.0,1824,100,5/6,0.5374273109436035
0.0,1.0,1.5,10.0,1824,100,5/6,0.5254504370689392
0.0,0.69,2.0,9.14,1824,100,5/6,0.4609762144088745
0.0,0.0,2.5,3.91,1824,100,5/6,0.2054156231880188
0.0,0.0,3.0,2.31,1824,100,5/6,0.1250431251525879
0.0,0.0,3.5,1.65,1824,100,5/6,0.08810798168182372
0.0,0.0,4.0,1.26,1824,100,5/6,0.06625895977020263
0.0,0.0,4.5,1.07,1824,100,5/6,0.05642305374145508
