Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1248,100,1/2,0.3426270723342896
0.0,1.0,1.0,10.0,1248,100,1/2,0.34159345865249635
0.0,0.58,1.5,9.17,1248,100,1/2,0.3155940389633179
0.0,0.0,2.0,5.21,1248,100,1/2,0.18547443628311158
0.0,0.0,2.5,3.55,1248,100,1/2,0.12263943433761597
0.0,0.0,3.0,2.77,1248,100,1/2,0.0942919659614563
0.0,0.0,3.5,2.26,1248,100,1/2,0.07733884811401368
0.0,0.0,4.0,1.98,1248,100,1/2,0.06814104795455933
0.0,0.0,4.5,1.77,1248,100,1/2,0.062167935371398926
