Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,864,100,3/4B,0.24343889236450195
0.0,1.0,1.0,10.0,864,100,3/4B,0.23961142539978028
0.0,0.97,1.5,9.95,864,100,3/4B,0.23264800786972045
0.0,0.05,2.0,5.8,864,100,3/4B,0.13683028936386107
0.0,0.0,2.5,3.03,864,100,3/4B,0.07783056497573852
0.0,0.0,3.0,2.19,864,100,3/4B,0.05656265020370484
0.0,0.0,3.5,1.59,864,100,3/4B,0.04102455139160156
0.0,0.0,4.0,1.22,864,100,3/4B,0.03197076559066772
0.0,0.0,4.5,1.01,864,100,3/4B,0.026899595260620118
