Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1152,100,3/4A,0.32810254096984864
0.0,1.0,1.0,10.0,1152,100,3/4A,0.3270613837242127
0.0,1.0,1.5,10.0,1152,100,3/4A,0.32329651832580564
0.0,0.15,2.0,6.25,1152,100,3/4A,0.2086584162712097
0.0,0.0,2.5,3.21,1152,100,3/4A,0.10834911346435547
0.0,0.0,3.0,2.18,1152,100,3/4A,0.07904691696166992
0.0,0.0,3.5,1.68,1152,100,3/4A,0.05677121877670288
0.0,0.0,4.0,1.19,1152,100,3/4A,0.042505893707275394
0.0,0.0,4.5,1.06,1152,100,3/4A,0.03937897682189941
