Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2112,100,3/4B,0.6421008872985839
0.0,1.0,1.0,10.0,2112,100,3/4B,0.6397912096977234
0.0,1.0,1.5,10.0,2112,100,3/4B,0.6504895806312561
0.0,0.04,2.0,6.45,2112,100,3/4B,0.42444918394088743
0.0,0.0,2.5,3.47,2112,100,3/4B,0.2210143756866455
0.0,0.0,3.0,2.5,2112,100,3/4B,0.16618974924087523
0.0,0.0,3.5,1.92,2112,100,3/4B,0.13257521152496338
0.0,0.0,4.0,1.49,2112,100,3/4B,0.10552719354629517
0.0,0.0,4.5,1.26,2112,100,3/4B,0.08243350028991699
