Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2208,100,2/3B,0.6195655488967895
0.0,1.0,1.0,10.0,2208,100,2/3B,0.6103372693061828
0.0,1.0,1.5,10.0,2208,100,2/3B,0.6181167459487915
0.0,0.0,2.0,5.5,2208,100,2/3B,0.3485592079162598
0.0,0.0,2.5,3.42,2208,100,2/3B,0.20927439212799073
0.0,0.0,3.0,2.44,2208,100,2/3B,0.1478692865371704
0.0,0.0,3.5,1.99,2208,100,2/3B,0.12324766159057617
0.0,0.0,4.0,1.61,2208,100,2/3B,0.0986874508857727
0.0,0.0,4.5,1.29,2208,100,2/3B,0.08277319192886352
