Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1632,100,2/3A,0.4476073169708252
0.0,1.0,1.0,10.0,1632,100,2/3A,0.4328592348098755
0.0,0.96,1.5,9.95,1632,100,2/3A,0.41552210092544556
0.0,0.02,2.0,5.54,1632,100,2/3A,0.245128812789917
0.0,0.0,2.5,3.31,1632,100,2/3A,0.14056210994720458
0.0,0.0,3.0,2.43,1632,100,2/3A,0.10448705673217773
0.0,0.0,3.5,1.96,1632,100,2/3A,0.08791972637176514
0.0,0.0,4.0,1.58,1632,100,2/3A,0.07127398729324341
0.0,0.0,4.5,1.34,1632,100,2/3A,0.05976604700088501
