Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,2112,100,3/4A,0.6072163295745849
0.0,1.0,1.0,10.0,2112,100,3/4A,0.6211803603172302
0.0,1.0,1.5,10.0,2112,100,3/4A,0.6161995768547058
0.0,0.02,2.0,6.43,2112,100,3/4A,0.4068292784690857
0.0,0.0,2.5,3.34,2112,100,3/4A,0.19411120653152467
0.0,0.0,3.0,2.38,2112,100,3/4A,0.14146176099777222
0.0,0.0,3.5,1.88,2112,100,3/4A,0.11311908006668091
0.0,0.0,4.0,1.47,2112,100,3/4A,0.09888551235198975
0.0,0.0,4.5,1.17,2112,100,3/4A,0.07876158237457276
