Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1248,100,3/4B,0.3810531401634216
0.0,1.0,1.0,10.0,1248,100,3/4B,0.3669902753829956
0.0,1.0,1.5,10.0,1248,100,3/4B,0.37150646448135377
0.0,0.05,2.0,5.76,1248,100,3/4B,0.22194103956222533
0.0,0.0,2.5,3.17,1248,100,3/4B,0.11993308782577515
0.0,0.0,3.0,2.22,1248,100,3/4B,0.08657172918319703
0.0,0.0,3.5,1.71,1248,100,3/4B,0.06643007040023803
0.0,0.0,4.0,1.31,1248,100,3/4B,0.05212707281112671
0.0,0.0,4.5,1.09,1248,100,3/4B,0.04573500156402588
