Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,960,100,2/3A,0.24876343250274657
0.0,1.0,1.0,10.0,960,100,2/3A,0.2528628134727478
0.0,0.9,1.5,9.79,960,100,2/3A,0.25425554275512696
0.0,0.02,2.0,5.19,960,100,2/3A,0.13390085697174073
0.0,0.0,2.5,3.09,960,100,2/3A,0.08022638320922852
0.0,0.0,3.0,2.29,960,100,2/3A,0.0605153226852417
0.0,0.0,3.5,1.77,960,100,2/3A,0.04903911113739014
0.0,0.0,4.0,1.38,960,100,2/3A,0.03850501537322998
0.0,0.0,4.5,1.17,960,100,2/3A,0.03189995050430298
