Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,768,100,1/2,0.186387300491333
0.0,1.0,1.0,10.0,768,100,1/2,0.18547057151794433
0.0,0.44,1.5,8.57,768,100,1/2,0.1595019268989563
0.0,0.01,2.0,4.9,768,100,1/2,0.09247056722640991
0.0,0.0,2.5,3.34,768,100,1/2,0.06361828327178955
0.0,0.0,3.0,2.58,768,100,1/2,0.049585824012756345
0.0,0.0,3.5,2.15,768,100,1/2,0.041475224494934085
0.0,0.0,4.0,1.87,768,100,1/2,0.036369717121124266
0.0,0.0,4.5,1.53,768,100,1/2,0.03002368450164795
