Perror,Pfailure,SNR,iterations,n,n words,rate,time per word
0.0,1.0,0.5,10.0,1344,100,3/4A,0.38818556785583497
0.0,1.0,1.0,10.0,1344,100,3/4A,0.37701432943344115
0.0,0.99,1.5,9.97,1344,100,3/4A,0.3815634202957153
0.0,0.09,2.0,6.38,1344,100,3/4A,0.24540040731430054
0.0,0.0,2.5,3.31,1344,100,3/4A,0.1295449686050415
0.0,0.0,3.0,2.19,1344,100,3/4A,0.09239212274551392
0.0,0.0,3.5,1.65,1344,100,3/4A,0.07012260675430299
0.0,0.0,4.0,1.27,1344,100,3/4A,0.055422945022583006
0.0,0.0,4.5,1.08,1344,100,3/4A,0.04830683708190918
